testtopic	questionid	question	optiona	optionb	optionc	optiond	optione	optionf
111-Programming-with-C-Test	44188	"What will the value of result variable be after these two statements?<br><br>
int num1 = 10, num2 = 9;<br>
int result = num1 & num2;<br><br>"	0	1	8	9	10	11
111-Programming-with-C-Test	44189	"What will be the value of result after these two statements?<br><br>&nbsp;&nbsp;&nbsp;&nbsp;int num1 = 10, num2 = 9;<br>&nbsp;&nbsp;&nbsp;&nbsp;int result = num1 ^ num2;<br>"	0	1	8	9	10	3
111-Programming-with-C-Test	44190	"What will be the values of i, j and k after executing the following set of statements?<br><br><br>
<font size=2>
int i, j, k;<br>
i = 4;<br>
j = 30;<br>
k = 0;<br>
k = j++ / i++;<br>
</font>"	5 31 7	5 31 8	5 31 6	4 30 7		
111-Programming-with-C-Test	44191	"What will be the return value if the function fn is called with a value of 50 for the parameter var?<br><br><br>public int fn(int var)<br>{<br>&nbsp;&nbsp;&nbsp;&nbsp;int retvar = var - (var / 10 * 5);<br>&nbsp;&nbsp;&nbsp;&nbsp;return retvar;<br>}<br>"	50	25	49	Error message	None of the above<br><br>	
111-Programming-with-C-Test	44192	Which of the following are not valid Arithmetic operators?	+	-	*	%	^	
111-Programming-with-C-Test	44193	Which of the following has the highest precedence?	Bitwise shift operators	Multiplication and Division	Assignment operators	Logical operators<br><br>		
111-Programming-with-C-Test	44194	Which of the following has the lowest precedence?	Bitwise operators	Multiplication and Division 	Assignment operators	Logical operators<br><br>		
111-Programming-with-C-Test	44195	One of the ternary operators provided in C# is: 	*	::	&	?:	&lt&lt <br><br>	
111-Programming-with-C-Test	44196	Which of the following is not a relational operator?	is	!=	<>	>=	<=	
111-Programming-with-C-Test	44197	What happens when the continue keyword is encountered in a for loop?	Control passes to the initialization of the loop	Control passes to the condition of the loop	Control passes to the increment expression of the loop	Control passes to the first statement of the loop	Control passes to the first statement after the loop<br><br>	
111-Programming-with-C-Test	44199	"What will happen if the value of nNum is 2 and the following code is compiled and executed?<br><br>
switch(nNum)<br>
{<br>
case 1:<br>
Console.WriteLine(""nNum = 1"");<br>
break;<br>
case 2:<br>
Console.WriteLine(""nNum = 2"");<br>
default:<br>
Console.WriteLine(""nNum is not 1 nor 2"");<br>
break;<br>
}<br>"	The code will output: nNum = 2	"The code will output: nNum = 2<br>
nNum is not 1 nor 2
"	"The code will output: nNum = 1<br>
nNum = 2
"	Compile time error		
111-Programming-with-C-Test	44200	Which of the following statement regarding switch-case is false?	A switch statement takes a single variable or function and evaluates it	Each case should contain a break statement within the curly brackets of the case	A switch statement must have at least one case or default statement within it	The default case is not optional in switch statement		
111-Programming-with-C-Test	44201	"What will be the output of the following code?<br><br>
int[] nNumArr = {1, 2};<br>
foreach (int temp in nNumArr)<br>{<br>
temp++;<br>
Console.WriteLine(temp);<br>
}"	1<br>2	2<br>3	2	Error because you cannot increment temp by 1		
111-Programming-with-C-Test	44203	Complete the following sentence:<br><br>In C#, exception handling should be used.........<br>	to handle the occurrence of unusual or unanticipated program events	to redirect the programs normal flow of control	in cases of potential logic or user input errors	in case of overflow of an array boundary<br><br>		
111-Programming-with-C-Test	44204	"What is the purpose of catch block in the following code?<br><br>try { <br>    // Code that might throw exceptions of different types <br>}<br>
catch { <br>    // Code goes here <br>}"	Only errors of type std::unexpected are caught here	Other codes (not C#) exceptions are caught	This catch block must be the first one in a series of catch blocks that may or may NOT follow	This catch block can be the last one in a series of catch blocks to handle any exception which is not handled by the preceding catch blocks, each of which handles an exception of a particular type	No errors are caught in this try block (they are all passed to the next closest catch)	None of the above
111-Programming-with-C-Test	44205	Which of the following is not true?	You can nest try blocks inside each other	You can use goto in the finally block to jump out of the finally block	Code within the finally block is always executed	.NET runtime will catch any unhandled exceptions	You can use goto in a catch block to jump out of the catch block	
111-Programming-with-C-Test	44206	Can you define your own Exception classes?	Yes	Yes, but they have to be derived from System.Exception class	Yes, but they have to be derived from System.Object class	No<br>		
111-Programming-with-C-Test	44207	Which access specifier allows only the containing class to access a data member?<br>	private	protected	default	abstract	public<br>	
111-Programming-with-C-Test	44208	You need to keep track of how many objects of a given class exist by introducing a class member variable. Which one of the following solutions allows for this behavior?	Add an automatic member variable that gets incremented in the default constructor and decremented in the destructor	Add an automatic local variable that gets incremented in each constructor and decremented in the destructor	Add a static member variable that gets incremented in each constructor and decremented in the destructor	Add a register member variable that gets incremented in each constructor and decremented in each destructor	This cannot be accomplished since the creation of objects is done dynamically via ''new.''<br>	
111-Programming-with-C-Test	44209	In C#, can you define global functions that are not associated with a particular class?	Yes	Yes, but they have to be marked with the keyword static	Yes, but they have to be marked with the keyword internal	No<br>		
111-Programming-with-C-Test	44210	"In the sample code given below, which of the data members are accessible from class Y?<br><br>
class X {<br>
private int i;<br>
protected float f;<br>
public char c;<br>
}<br><br>
class Y : X { }"	c	f	i	All of the above		
111-Programming-with-C-Test	44211	"What happens when the below code is executed?<br><br>abstract class Shape<br>{<br>&nbsp;&nbsp;public abstract void draw();<br>}<br><br>class Rectangle: Shape<br>{<br>&nbsp;&nbsp;public override void draw();<br>&nbsp;&nbsp;//Some more member functions.....<br>}<br><br>class CCheck<br>{<br>&nbsp;&nbsp;public static void Main()<br>&nbsp;&nbsp;{<br>&nbsp;&nbsp;&nbsp;&nbsp;Shape objShape;<br>&nbsp;&nbsp;}<br>}<br><br>"	The code will compile and run.	Compile error for draw method will be encountered first	Defining the body of the draw() method in class Rectangle would let the class compile.	None of the above<br><br>		
111-Programming-with-C-Test	44212	"Which of the following statements are true?<br><br>
An abstract function"	is a function that takes no arguments	be defined in a class only if the class itself is also marked as abstract	must be overridden in a derived class	can be overridden in a derived class		
111-Programming-with-C-Test	44212	"Which of the following statements are true?<br><br>
An abstract function"	is a function that takes no arguments	can be defined in a class only if the class itself is also marked as abstract	must be overridden in a derived class	can be overridden in a derived class		
111-Programming-with-C-Test	44213	Which type of class members are associated with the class itself rather than the objects of the class?	Public	Protected	Private	Static		
111-Programming-with-C-Test	44214	How can an abstract function be declared?	By equating it to 1	By equating it to zero	By using the virtual keyword	By using the abstract keyword		
111-Programming-with-C-Test	44215	Which access specifier will you use to make base class members accessible in the derived class and not accessible for the rest of the program?	public access specifier	private access specifier	protected access specifier	static access specifier		
111-Programming-with-C-Test	44216	Which of the following are true about constructors and member functions?	A constructor can return values, but a member function cannot	A member function can declare and define values, but a constructor cannot	A member function can return values, but a constructor cannot	All of the above		
111-Programming-with-C-Test	44217	Which of the following can be used to expose a method as a field to the outside world?	property	indexer	delegate	event	enumerator	
111-Programming-with-C-Test	44218	Which of the following keywords prevents a class from being overridden further?	abstract	sealed	final	root	internal<br>	
111-Programming-with-C-Test	44219	How can you define a function in a derived class having the same name as a non-virtual function in the base class?<br>	You can do this simply by adding that function definition in the derived class. The function in the derived class will automatically hide the function in the parent class	By using the new keyword	By using the override keyword	You cannot do this, the base and derived classes cannot have non-virtual functions with the same name<br><br>		
111-Programming-with-C-Test	44220	Which object oriented concept is related to the derivation of a class based on another class?	Encapsulation	Polymorphism	Data Hiding	Inheritance	Overloading	
111-Programming-with-C-Test	44221	Which of the following is true about friend functions in C#?	Friend functions violate the concept of OOPS	Friend functions should not be used	Friend functions enhance the concept of OOPS if used properly	Friend functions are not available in C#<br>		
111-Programming-with-C-Test	44222	Which of the following are true?	Function overloading is an example of static polymorphism	Operator overloading is an example of static polymorphism	Function overloading is an example of dynamic polymorphism	Operator overloading is an example of dynamic polymorphism	Overriding virtual functions of the parent class in a derived class is an example of static polymorphism	Overriding virtual functions of the parent class in a derived class is an example of dynamic polymorphism<br>
111-Programming-with-C-Test	44223	Which object oriented term is related to protecting data from access by unauthorized functions?	Inheritance	Data hiding	Polymorphism	Operator overloading	Abstraction	
111-Programming-with-C-Test	44225	Can you overload a function with the same number and types of arguments (parameters) but with a different return type?	Yes	No	Yes, but only if function is static	Yes, but only if function is virtual		
111-Programming-with-C-Test	44227	Which of the following operators cannot be overloaded?	==	++	<	?:	::	
111-Programming-with-C-Test	44228	Which of the following is false with regard to interfaces?<br>	The methods in an interface do not have access specifiers	Methods can never be implemented in an interface	Methods cannot be declared as virtual	Interfaces cannot be derived from other interfaces<br><br>		
111-Programming-with-C-Test	44230	What is the syntax required to load and use a normal unmanaged windows DLL (e.g. kernel32.DLL) in a managed .NET C# code?	Assembly.Load(''Kernel32.DLL'')	LoadLibrary(''Kernel32.DLL'')	[DllImport(''kernel32'', SetLastError=true)]	We cannot use unmanaged DLLs in managed .NET application		
111-Programming-with-C-Test	44231	"Consider the following code:<br><br>
    public class ClassPoint<br>
    {<br>
        public int X;<br>
        public int Y;<br><br>

        public ClassPoint(int a, int b)<br>
        {<br>
            X = a;<br>
            Y = b;<br>
        }<br>
    }<br><br>

    public struct StructPoint<br>
    {<br>
        public int X;<br>
        public int Y;<br><br>

        public StructPoint(int a, int b)<br>
        {<br>
            X = a;<br>
            Y = b;<br>
        }<br>
    }<br><br>

    public class Test<br>
    {<br><br>
        static void Main(string[] args)<br>
        {<br>
            ClassPoint a = new ClassPoint(10, 10);<br>
            ClassPoint b = a;<br>
            a.X = 100;<br>
            StructPoint c = new StructPoint(10, 10);<br>
            StructPoint d = c;<br>
            c.X = 100;<br>
            Console.WriteLine(b.X.ToString() + "","" + d.X);<br>
        }<br>
    }<br><br>

What will be the output printed on the screen?<br>"	10, 10	10, 100	100, 100	100, 10	10, (unpredictable)	"100, (unpredictable);<br>"
111-Programming-with-C-Test	44232	Which of the following functions are used to wait for a thread to terminate?	Wait()	Terminate()	Join()	Abort()<br><br>		
111-Programming-with-C-Test	44233	In which of the following namespaces is the Assembly class defined?	System.Assembly	System.Reflection	System.Collections	System.Object<br><br>		
111-Programming-with-C-Test	44234	Which of the following is/are true for events?	Events are specialized forms of delegates	Events are used to support the callback event notification model	The signature of any event handler is fixed	All of the above are true		
111-Programming-with-C-Test	70159	Dot Net Framework consists of :	Common language runtime	Set of class libraries	Common language runtime and set of class libraries			
111-Programming-with-C-Test	70160	Which of the following language code is not 'managed' by default in .NET framework?	Visual Basic	C#	C++	Jscript		
111-Programming-with-C-Test	70161	Where does a C# assembly store the information regarding the other external dependencies, such as satellite assemblies, global assemblies etc, and their versions so that they can be loaded correctly when the assembly is executed?	In the embedded resources of the assembly	In the manifest of the assembly	In the MSIL of the assembly	In windows registry database	None of the above<br>	
111-Programming-with-C-Test	70162	Which of the following does not constitute the benefits of CLR?	Ability to use components developed in different language	Garbage collection	IDL (Interface Definition Language) use is promoted by restricting self describing objects	Ability to compile once, and run on any CPU <br>	All of the above	
111-Programming-with-C-Test	70163	Dot NET Framework programs are compiled into CPU independent instruction set, named:	Microsoft Interpreted Language	Common Intermediate Language	Microsoft Virtual Language			
111-Programming-with-C-Test	70164	"The .NET framework comes with a&nbsp;&nbsp;few CLR hosts. Which of the following is a CLR host?"	ASP.NET	IE	Shell Executables	All of the above<br>		
111-Programming-with-C-Test	70165	Which of the following statements is correct with regard to .NET framework managed web pages?	They interact directly with the runtime	They do not execute in the native code language	They are interpreted and scripted	All of the above		
111-Programming-with-C-Test	70166	The XML web services of the .NET framework are built on:	SOAP	XML	WSDL	All of the above<br>		
111-Programming-with-C-Test	70167	_____________ helped overcome the DLL conflict (faced by the versions prior to .NET).	CLR	JIT	CTS	GAC	Satellite Assemblies	All of the above<br>
111-Programming-with-C-Test	70168	.NET framework has data providers for:	ODBC and SQl Server	Sql Server, OleDb, and ODBC	Sql Server,OLeDb, and Oracle	Oracle, OleDb, Sql Server, and ODBC<br>		
111-Programming-with-C-Test	70169	In the .NET framework, what are the options available for packaging?	CAB	EXE	MSI	All of the above<br><br><br>		
111-Programming-with-C-Test	70170	___________ namespace is not defined in the .NET class library.	System	System.CodeDom	System.IO	System.Thread	System.Text<br>	
111-Programming-with-C-Test	70171	The global assembly cache:	Can store two dll files with the same name	Can store two dll files with the same name, but different version	Can store two dll files with the same name and same version	Can not store dll files with the same name		
111-Programming-with-C-Test	70172	Which of the following is not a feature of .NET 2.0?	Partial classes	Generics	Multiple Inheritance	Partial Methods<br><br><br>		
111-Programming-with-C-Test	70174	What are Satellite assemblies in C#.NET?	Additional assemblies that are used only by the main C# application	User control assemblies used by the C# application	Assemblies that contain only resource information and no code	Assemblies that contain only code and no resource information<br>		
111-Programming-with-C-Test	70175	Which of the following statements are correct?	A class is an instance factory	A class is a template for creating an entity	A class is a set of all the instances of a pattern	None of the above		
111-Programming-with-C-Test	70176	What is an Object in Object Oriented Programming?	A real entity having some state	A real entity having state and behavior	An entity having some state	An entity having state and behavior<br><br>		
111-Programming-with-C-Test	70177	"Consider the following code:<br><br>

        string s1 = ''Old Value'';<br>
        string s2 = s1;<br>
        s1 = ''New Value'';<br>
        Console.WriteLine(s2);<br><br>

What will be the output printed:"	''New Value'' because string is reference type	''Old Value'' because string is value type	''New Value'' because string is value type	''Old Value'' because string is reference type	''Old Value'' because string is reference type which is treated as a special case by assignment operator<br><br>	
111-Programming-with-C-Test	70179	What is Encapsulation?	Wrapping functions into a single unit	Wrapping functions and data into a single unit	Making the whole data accessible to the outer world	Making the whole data and functions accessible to the outer world<br><br>		
111-Programming-with-C-Test	70181	Which of the following is a benefit derived from using OOPS (Object Oriented Programming Structure)?	Elimination of redundant code	Reusing the code	Ability to enhance and extend previously written code for new modules	Co-existence of multiple instances of objects	All of the above	
111-Programming-with-C-Test	70184	Two users, Monique and James are using an MIS system implemented using ADO.NET. The data refresh time in the system is set to 15 minutes. James changed the mailing address of a customer named Majda, and updated the database. Before database refresh, Monique also updated the same customer's address as per her pending requests folder. What will happen when Monique saves the changes?	Changes made by Monique will be saved by the database	Changes made by Monique will be ignored and nothing unusual happens	DBConcurrencyException will be thrown	DBException will be thrown		
111-Programming-with-C-Test	70185	What are the core components of the .Net framework data provider model?	DataAdapter and DataReader	Connection and Command	DataAdapter, Connection, and Command	DataAdapter, DataReader, Connection, and Command		
111-Programming-with-C-Test	70186	We are iterating through the results received in a data reader named 'DReaderOrder,' which is created by using the connection 'SqlCon.' In between we need to retrieve some more values from the database, so we executed another command in the same connection to get the results in a new data reader named 'DReaderProduct.' What will be the result if we are using ADO.NET 2.0?	First data reader will immediately stop and the new data  reader starts reading	First data reader will halt till the new data reader finishes reading	Both will keep on reading records independent of each other	We receive an exception 'System.InvalidOperationException'		
111-Programming-with-C-Test	70187	You created a stored procedure to retrieve the following details for the given customer:<br><br>CustomerName, Address, PhoneNumber<br><br>Which of the following is an ideal choice to get the best performance?	Return the result as dataset using data adapter	Return the result as dataset using command object	Return the result as three out parameters and command object	All of the above<br><br>		
111-Programming-with-C-Test	70188	Which of the following statements is incorrect with regard to a CommandBuilder object?	It creates insert, update, and delete queries automatically	It creates efficient queries in terms of performance	A unique column must be selected as a part of the select query	It cannot work with queries having joins<br><br>		
111-Programming-with-C-Test	70189	Which of the following command types are provided by an oledb and sql provider?	StoredProcedure,Text,Table	StoredProcedure,Query,Table	Procedure,Text,Table,Query	Procedure,Query,Table		
111-Programming-with-C-Test	70190	Which of the following is capable of returning multiple rows and multiple columns from the database?	ExecuteReader	ExecuteXmlReader	DataAdapter	All of the above<br><br>		
111-Programming-with-C-Test	70191	Which of the following types of cursors is available with ADO.NET DataReader object?	server-side, forward-only, and read-write cursor 	server-side, forward-only, and read-only cursor 	server-side, backward-only, and read-write cursor 	server-side, bidirectional, and read-only cursor <br><br>		
111-Programming-with-C-Test	70192	You have to update some values in the database. Which of the following methods would you execute on a SqlCommand object named ''cmdUpdate'' the CommandType for which is CommandType.StoredProcedure?	cmdUpdate.ExecuteScalar()	cmdUpdate.ExecuteNonQuery()	cmdUpdate.ExecuteReader()	cmdUpdate.Execute()	cmdUpdate.ExecuteXmlReader()	
111-Programming-with-C-Test	70194	Which of the following methods is ideally suited for retrieving the value of particular column from a particular row on a table in the database?	By using the fill method of the data adapter	By using the ExecuteReader method of the command object	By using the ExecuteScalar method of the command object	All of the above<br><br>		
111-Programming-with-C-Test	70195	Which of the following implement ISerializable interface?	DataSet and DataView	DataRow and DataTable	DataColumn and DataView	DataSet and DataTable<br><br>		
111-Programming-with-C-Test	70196	"A banking application is online. As soon as Martin finished his session, Lisa logged on and did some banking. The connection string created for each of them is as follows:<br><br>String ConnStr=&nbsp;&nbsp;&nbsp;&nbsp;""Server=BankServer;Database=BankDB;User=Martin;Password=gilbo123;""<br><br>String ConnStr=&nbsp;&nbsp;&nbsp;&nbsp;""Server=BankServer;Database=BankDB;User=Lisa;Password=kari75;""<br><br>Which of the following statements will be correct in case the connection pooling is also switched on?"	There is a possibility of Lisa using the same connection object as created for Martin from the connection pool	Lisa can not use someone else's connection from the connection pool	Lisa can pick any other ideal connection from the connection pool	None of the above<br><br>		
111-Programming-with-C-Test	70197	Asynchronous execution is supported in ADO.NET 2.0 for	ExecuteReader	ExecuteScalar	ExecuteNonQuery	All of the above		
111-Programming-with-C-Test	70198	C# has a keyword called 'int'. Which .NET type does this map to?	system.Int16	system.Int32	system.Int64	system.Int128<br>		
111-Programming-with-C-Test	70199	Which of the following statements are true for a DataSet?	DataSet is disconnected from the underlying database.	You can add many new rows to multiple DataTables within a DataSet.	DataSet can store a snapshot of the live data.			
111-Programming-with-C-Test	70199	Which of the following statements is true for a DataSet?	DataSet is disconnected from the underlying database	You can add many new rows to multiple DataTables within a DataSet	DataSet stores a snapshot of the live data	It is a foolproof solution to the data concurrency issues		
111-Programming-with-C-Test	70200	Which of the following statements is correct with regard to a CommandBuilder object?	It creates update/delete command based on the primary key column	It creates update/delete command based on all the identity columns	It creates update/delete command based on original values of all the selected columns 	It creates update/delete command according to its internal algorithm<br><br>		
14-Java-Test	144425	"What will be the output of the following code?<br><br>import java.util.*;<br><br>public class Test<br>{<br>public static void main (String args[]) throws Exception<br>{<br>List l = new ArrayList ();<br>int a = (int)(3 * 2.5);<br><br>for (int i = 0; i &lt; 10; i++)<br>l.add (i);<br><br>String s = ""Hello"";<br><br>l.add (a, s.getBytes (""UTF-8"")[2]);<br>System.out.println (l);<br>}<br>}<br>"	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	[0, 1, 2, 3, 4, 5, 6, 108, 7, 8, 9]	[0, 1, 2, 3, 4, 5, 6, 108, 8, 9, 10]	Program won't compile<br>		
14-Java-Test	146938	What protocol is used by the DatagramSocket class?	STCP	UDP	TCP	FTP	None of the above<br><br>	
14-Java-Test	146939	Can Java be used to send ICMP packets?	Yes	No				
14-Java-Test	146940	"Will the following code bind srvSock ?<br><br>
srvSock = new ServerSocket();"	Yes	No				
14-Java-Test	146941	Can ServerSocket be used with UDP?	Yes	No<br><br>				
14-Java-Test	146942	Can InetAddress be used with inet6?	Yes	No	No, InetAddress is an abstract class			
14-Java-Test	146943	"Is the following code valid?<br><br>InetAddress ad = InetAddress.getByName (""195.186.2.111"");"	Yes	No<br><br>				
14-Java-Test	146944	What is true regarding the socket API?	All socket API classes and methods are endian independant	The socket API can be used with UNIX sockets	The socket API cannot be used with UDP, only TCP	None of them is true		
14-Java-Test	146945	What is the java.net.IDN class in 1.6?	Methods to resolve integrated domain names (IDNs), such domain names are special embedded names	Methods to swap bytes between network byte order and host byte order	Methods to convert internationalized domain names (IDNs) between a normal Unicode representation and an ASCII Compatible Encoding (ACE) representation	This class does not exist	None of the above<br><br>	
14-Java-Test	146946	What is the superclass of java.net.DatagramSocket?	java.net.Socket	java.net.UDPSocket	java.net.SocketInterface	java.lang.Object	None of the above<br><br>	
14-Java-Test	146947	What is true regarding the Datagram Protocol (UDP)?	A message is never partial	Messages order is guaranteed	Messages are not guaranteed to arrive at destination	UDP is MTU independant	None is true	
14-Java-Test	67656	Choose the correct declarations for the main() method which will allow the class to be run as a standalone program.<br>	public void main(String str[])	static public void main(String str[])	public static int main(String str[])	public static void main(String str[])<br>		
14-Java-Test	67657	"What will be the output of this program?<br><br>
public class Test<br>
{<br>
public static void main (String args[])<br>
{<br>
String a, b, c, d;<br>
a = ''Hello1234'';<br>
b = ''Hello'' + String.valueOf(1234);<br>
c = ''Hello'' + ''1234'';<br><br>		
d = new String (new char[]{'H', 'e', 'l', 'l', 'o', '1', '2', '3', '4'});<br><br>
System.out.print (a == b);<br>
System.out.print ('' '');<br>
System.out.print (a.equals(b));<br>
System.out.print ('' '');<br><br>
System.out.print (a == c);<br>
System.out.print ('' '');<br>
System.out.print (a.equals(c));<br>
System.out.print ('' '');<br><br>
System.out.print (a == d);<br>
System.out.print ('' '');<br>
System.out.print (a.equals(d));<br>
System.out.print ('' '');<br>
}<br>
}<br>"	true true true true false true	false true true true false false	false true true true false true	false false true true false true		
14-Java-Test	67658	"What will be the output of this program?<br><br>
public class Test<br>
{<br><br>
public static void main (String args[])<br>
{<br><br>
int a, b;<br><br>
a = 2;<br>
b = 0;<br>
System.out.println (g (a, new int[] {b}));<br><br>
}<br><br>
public static int g (int a, int b[])<br>
{<br><br>
b[0] = 2 * a;<br>
return b[0];<br><br>
}<br><br>
}<br>"	0	1	An exception will occur	4<br>		
14-Java-Test	67659	"Select the correct option based upon the following sample code:<br><br>
public class Test<br>
{<br><br>
static int a;<br>
int b;<br><br>
public Test ()<br>
{<br><br>
int c;<br>
c = a;<br>
a++;<br>
b += c;<br>
System.out.println (""one"");<br><br>
}<br><br>
public void Test ()<br>
{<br><br>
int c;<br>
c = a;<br>
a++;<br>
b += c;<br>
System.out.println (""two"");<br><br>
}<br><br>
public static void main (String args[])<br>
{<br><br>
Test t = new Test ();<br><br>
}<br>
}<br>"	The code will fail to compile because there is a method with the same name as the class name	The code will fail to compile because there are 2 constructors with the same names and parameters	The code will fail to compile because the constructor is trying to access a static variable	The code will compile but will fail when run	The code will compile and run successfully. It will print ''one''	The code will compile and run successfully. It will print ''two''
14-Java-Test	67660	"Is the following statement true or false?<br><br>
A .java file without any source code is a valid java file."	True	False				
14-Java-Test	67661	"Which statements, when inserted at the indicated position in the following code, will cause a runtime exception when attempting to run the program?<br><br>
class A {}<br><br>
class B extends A {}<br><br>
class C extends A {}<br><br>
public class X {<br>
public static void main(String args[]) {<br>
A x = new A();<br>
B y = new B();<br>
C z = new C();<br>
// insert statement here<br>
}<br>
}"	"x = y;"	"z = x;"	"y = (B)x;"	"y = (A)y;"		
14-Java-Test	67662	"Consider the following:<br><br>
String sub =""hello"".substring(2, 3);<br><br>
What is the value of sub?"	''ll''	''elo''	''l''	''llo''<br>		
14-Java-Test	67663	"How many objects are created by the following code?<br><br>
Object a, b, c, d, e;<br>
e = new Object ();<br>
b = a = e;<br>
e = new Object ();<br>"	2	5	4	This code is invalid<br>		
